epoch,running time,testing acc
0,0.0,0.1022
1,106.76456904411316,0.3922
2,109.60005593299866,0.4814
3,105.11064958572388,0.5248
4,106.17507767677307,0.5534
5,108.45084619522095,0.5822
6,110.8670449256897,0.6121
