step,training loss,testing acc
0,2.3038888,0.0926
50,1.9369706,0.3005
100,1.6097491,0.4288
150,1.4849324,0.4719
200,1.4027857,0.5142
250,1.3342143,0.5413
300,1.099989,0.5633
350,1.0201458,0.5966
0,1.0876782,0.5873
50,0.86141336,0.6177
100,0.89542395,0.6391
150,0.9059087,0.6368
200,1.0058569,0.6556
250,1.1108742,0.6576
300,0.9381144,0.6563
350,0.9111411,0.6749
0,0.84945923,0.6778
50,0.8338744,0.6806
100,0.66915333,0.6861
150,0.94256586,0.6875
200,0.9135634,0.7063
250,0.8004209,0.7118
300,0.83633155,0.7136
350,0.53450173,0.6811
0,0.8502522,0.72
50,0.6332765,0.7216
100,0.6979783,0.716
150,0.8033704,0.7195
200,0.7627721,0.7235
250,0.6303646,0.7248
300,0.6223639,0.7245
350,0.63752675,0.7093
0,0.68854564,0.7265
50,0.61327356,0.7332
100,0.5297827,0.7313
150,0.77017415,0.734
200,0.5478086,0.7273
250,0.7535462,0.7316
300,0.62150973,0.727
350,0.62299466,0.7319
0,0.5243621,0.7354
50,0.5235881,0.7419
100,0.55256176,0.736
150,0.43235677,0.7286
200,0.58243203,0.7269
250,0.73876417,0.7348
300,0.5781938,0.7216
350,0.7239671,0.7396
