step,training loss,testing acc
0,2.3250716,0.1112
50,0.19854484,0.9285
100,0.21132538,0.964
150,0.17131963,0.9743
200,0.07519761,0.9775
250,0.042028196,0.9807
300,0.07756469,0.9829
350,0.043829776,0.9813
400,0.034527063,0.9836
450,0.0788988,0.9839
0,0.05499157,0.9821
50,0.072348155,0.9843
100,0.12396499,0.9849
150,0.11414169,0.9866
200,0.015682176,0.9845
250,0.08044276,0.988
300,0.0485028,0.9861
350,0.055528745,0.9879
400,0.022763655,0.9874
450,0.023236208,0.9877
0,0.031144135,0.9871
50,0.076399304,0.9897
100,0.05665694,0.9898
150,0.037086364,0.99
200,0.038636602,0.9887
250,0.020729229,0.9901
300,0.08494281,0.9908
350,0.046877902,0.9871
400,0.0032927133,0.9883
450,0.01198566,0.9894
0,0.051571462,0.9886
50,0.066811696,0.9897
100,0.046293855,0.9893
150,0.0048647374,0.9915
200,0.0174156,0.9895
250,0.006782487,0.9904
300,0.017602973,0.9913
350,0.009907581,0.9911
400,0.011999857,0.9892
450,0.05220989,0.9884
0,0.0050922222,0.9903
50,0.0033759102,0.9907
100,0.02235403,0.989
150,0.0022585876,0.9884
200,0.0013088621,0.9878
250,0.023938794,0.9901
300,0.03399542,0.9907
350,0.0087662935,0.9897
400,0.045831654,0.9913
450,0.004947476,0.9912
0,0.023805022,0.991
50,0.017946444,0.9901
100,0.009763792,0.9897
150,0.020929411,0.9892
200,0.0038097575,0.9911
250,0.007052701,0.9924
300,0.018950742,0.9908
350,0.0305124,0.9907
400,0.0058173984,0.9909
450,0.030352585,0.9922
