epoch,running time,testing acc
0,0.0,0.105
1,107.62869834899902,0.5983
2,106.43724489212036,0.6737
3,105.65436434745789,0.7002
4,104.85324263572693,0.7226
5,105.2922911643982,0.7311
6,104.96770906448364,0.7339
