step,training loss,testing acc
0,2.310027,0.0988
50,1.879761,0.3239
100,1.5462601,0.4442
150,1.3461298,0.4572
200,1.2867432,0.5018
250,1.2691444,0.5358
300,1.2761686,0.5661
350,1.0107522,0.591
0,1.1147524,0.6148
50,1.2447084,0.5912
100,0.90922296,0.6205
150,1.2108926,0.6408
200,1.0106106,0.6435
250,1.0234125,0.6712
300,1.0962094,0.6781
350,0.99012893,0.6734
0,0.84715253,0.6719
50,0.8773293,0.6654
100,0.86056525,0.6915
150,0.7386457,0.7084
200,0.6855833,0.7023
250,0.87414813,0.7085
300,0.7263239,0.7082
350,0.6814537,0.7139
0,0.663646,0.7197
50,0.9241933,0.7223
100,0.75071704,0.7107
150,0.73208314,0.7071
200,0.72807455,0.7244
250,0.66252446,0.7232
300,0.7293349,0.7183
350,0.77347815,0.7253
0,0.50340414,0.7107
50,0.6730602,0.7241
100,0.5754742,0.7298
150,0.48552805,0.7287
200,0.57717043,0.7328
250,0.6178748,0.7384
300,0.7944799,0.7322
350,0.75257313,0.7364
0,0.5544095,0.7254
50,0.597852,0.7374
100,0.67801595,0.7294
150,0.6243745,0.7368
200,0.590679,0.7355
250,0.81258833,0.7323
300,0.5176224,0.7381
350,0.59562755,0.7473
