step,training loss,testing acc
0,2.305746,0.082
50,1.8578649,0.3023
100,1.659316,0.4252
150,1.7678353,0.4543
200,1.5486827,0.5132
250,1.2829742,0.5394
300,1.207416,0.5569
350,1.2182832,0.5769
0,1.2214235,0.6003
50,1.4617368,0.5644
100,1.0364666,0.6221
150,1.2769924,0.6437
200,0.9346111,0.654
250,1.4396131,0.6561
300,1.1781849,0.6564
350,1.0146116,0.6739
0,0.8503092,0.6828
50,0.8830104,0.6883
100,0.81853133,0.6884
150,0.7037319,0.6906
200,0.71098304,0.7056
250,0.62737274,0.7104
300,0.80440193,0.7112
350,0.86244863,0.7108
0,0.6105059,0.6878
50,0.7318499,0.7202
100,0.55941176,0.703
150,0.8183572,0.7116
200,0.54540116,0.7137
250,0.7170837,0.7211
300,0.71816987,0.7188
350,0.61870426,0.7223
0,0.6543928,0.7183
50,0.5295622,0.7178
100,0.51500565,0.7274
150,0.6550737,0.7358
200,0.7626998,0.7356
250,0.5269131,0.7413
300,0.5490172,0.7353
350,0.5700078,0.7294
0,0.54501665,0.721
50,0.5064738,0.7339
100,0.5506055,0.7334
150,0.47601205,0.7274
200,0.7395222,0.7309
250,0.8335514,0.7384
300,0.555684,0.7389
350,0.78320783,0.7338
