step,training loss,testing acc
0,2.291659,0.1077
50,0.13118444,0.9349
100,0.04647471,0.969
150,0.12990032,0.9777
200,0.046399966,0.978
250,0.0994166,0.9805
300,0.092549294,0.9866
350,0.04159126,0.9836
400,0.10380152,0.9851
450,0.058650676,0.9856
0,0.15265474,0.9814
50,0.05782921,0.987
100,0.06632986,0.987
150,0.014304556,0.9845
200,0.027274366,0.9877
250,0.025045246,0.9854
300,0.05039346,0.9895
350,0.016445685,0.9877
400,0.008353889,0.9872
450,0.0352755,0.9895
0,0.016662188,0.9871
50,0.022286687,0.9899
100,0.048197635,0.9914
150,0.059378024,0.9858
200,0.024526395,0.9899
250,0.01250083,0.9891
300,0.008908864,0.9905
350,0.07642965,0.9896
400,0.043369617,0.9908
450,0.027533587,0.9888
0,0.0344062,0.9889
50,0.03330878,0.9916
100,0.044557035,0.9912
150,0.044571694,0.9901
200,0.077271715,0.9911
250,0.036264308,0.9904
300,0.022572033,0.9922
350,0.0042054094,0.9916
400,0.01627785,0.9902
450,0.03342598,0.9916
0,0.007947631,0.9922
50,0.016773656,0.9918
100,0.006402459,0.9919
150,0.009218901,0.9903
200,0.014495667,0.9925
250,0.018337946,0.9888
300,0.06042207,0.9909
350,0.030124001,0.991
400,0.03560097,0.9903
450,0.005026199,0.9909
0,0.0026184767,0.9915
50,0.030787386,0.9909
100,0.0011405833,0.9916
150,0.0068863034,0.9907
200,0.020744815,0.9922
250,0.0016572848,0.9926
300,0.016114943,0.9902
350,0.015251067,0.9906
400,0.034805134,0.9929
450,0.007432379,0.992
