epoch,running time,testing acc
0,0.0,0.0949
1,922.7982449531555,0.5615
2,925.3651120662689,0.6756
3,940.2014935016632,0.7087
4,945.4581353664398,0.7263
5,922.6713762283325,0.7199
6,971.8101332187653,0.7337
