epoch,running time,testing acc
0,0.0,0.0828
1,148.88566255569458,0.9828
2,149.00767946243286,0.9891
3,149.61788702011108,0.9895
4,149.23274779319763,0.9901
5,149.41390132904053,0.9917
6,149.37821006774902,0.9903
