epoch,running time,testing acc
0,0.0,0.0586
1,150.1764039993286,0.9775
2,150.36859822273254,0.9911
3,150.36923241615295,0.9894
4,151.10950303077698,0.992
5,150.38930702209473,0.993
6,150.7363317012787,0.9926
