step,training loss,testing acc
0,2.301209,0.0914
50,1.9433224,0.3229
100,1.7116117,0.3872
150,1.4018466,0.4622
200,1.3201529,0.5069
250,1.3246887,0.5334
300,1.2541703,0.5607
350,1.1519396,0.6012
0,1.1166838,0.5964
50,0.96746933,0.6201
100,1.0377997,0.6487
150,1.202205,0.6482
200,0.98092026,0.6626
250,0.8986267,0.6587
300,1.1033419,0.6551
350,0.9694995,0.6687
0,1.0094911,0.6895
50,0.89931154,0.6901
100,0.74100643,0.6933
150,0.9105376,0.6951
200,0.78965765,0.7002
250,0.72258794,0.6952
300,0.8330331,0.7157
350,0.9635934,0.7025
0,0.8538487,0.71
50,0.8759474,0.7057
100,0.672203,0.7283
150,0.7833849,0.7244
200,0.82259804,0.7113
250,0.83577543,0.7088
300,0.62373906,0.7261
350,0.65087515,0.7178
0,0.57853764,0.7319
50,0.5435947,0.7347
100,0.7082633,0.7276
150,0.57161176,0.7164
200,0.7355088,0.7414
250,0.76282793,0.7392
300,0.7771674,0.7341
350,0.68315727,0.7328
0,0.67913777,0.7296
50,0.5361803,0.7339
100,0.49911612,0.7371
150,0.5998747,0.736
200,0.5894142,0.7366
250,0.74691063,0.7275
300,0.69138676,0.7294
350,0.5652142,0.74
