step,training loss,testing acc
0,2.313806,0.0914
50,0.27585554,0.9291
100,0.086110696,0.9661
150,0.12443718,0.9752
200,0.078563854,0.9732
250,0.040087674,0.9823
300,0.0633729,0.9837
350,0.112003475,0.9799
400,0.06437152,0.9831
450,0.08291385,0.9833
0,0.03690542,0.9855
50,0.12314432,0.9841
100,0.018111695,0.9873
150,0.05858573,0.9886
200,0.030957762,0.9878
250,0.043356735,0.9864
300,0.0129945725,0.989
350,0.027526252,0.9867
400,0.01775049,0.9887
450,0.10966889,0.9888
0,0.006349437,0.988
50,0.010004781,0.987
100,0.04736826,0.9905
150,0.039790604,0.9898
200,0.016448282,0.9915
250,0.028579887,0.9899
300,0.022195183,0.991
350,0.010991447,0.9903
400,0.0076881647,0.9895
450,0.004763104,0.9909
0,0.010039087,0.99
50,0.06020559,0.9904
100,0.011666436,0.9878
150,0.02670104,0.9904
200,0.013501108,0.9906
250,0.06608847,0.9908
300,0.024546087,0.9886
350,0.008829966,0.9902
400,0.023497429,0.9887
450,0.013573714,0.9908
0,0.0075852685,0.9901
50,0.052773193,0.9895
100,0.013126608,0.9917
150,0.0014409125,0.9908
200,0.036270924,0.9918
250,0.028004032,0.9922
300,0.0008081347,0.9916
350,0.012421716,0.9922
400,0.08431811,0.9903
450,0.021414667,0.991
0,0.002583392,0.9918
50,0.0077225417,0.9913
100,0.002439227,0.9913
150,0.023773182,0.9922
200,0.008432418,0.9913
250,0.007103704,0.9921
300,0.0060289837,0.9912
350,0.0025532395,0.992
400,0.0018002689,0.9929
450,0.010740019,0.9933
