epoch,running time,testing acc
0,0.0,0.0891
1,102.0674958229065,0.5871
2,101.8403913974762,0.6889
3,100.85142731666565,0.6968
4,100.59553503990173,0.7139
5,101.28487086296082,0.719
6,100.56679606437683,0.7274
