step,training loss,testing acc
0,2.300022,0.1055
50,2.0099034,0.3172
100,1.5856591,0.4169
150,1.4100257,0.4387
200,1.3785502,0.5119
250,1.3932233,0.5167
300,1.155264,0.5476
350,1.1913071,0.5844
0,1.1923555,0.6008
50,1.2082131,0.6106
100,1.2197354,0.5946
150,0.987942,0.6203
200,1.0065924,0.6156
250,0.96190906,0.6284
300,1.1648446,0.6485
350,1.3095701,0.6438
0,1.1070478,0.6301
50,0.99575436,0.6739
100,1.0540097,0.6816
150,0.81133306,0.6782
200,1.1855824,0.6661
250,0.81911904,0.6618
300,0.9162518,0.6803
350,0.690404,0.6854
0,0.7481772,0.69
50,0.7151776,0.6978
100,0.7868739,0.6782
150,0.84866375,0.689
200,0.71285766,0.6973
250,0.7451063,0.7035
300,0.70577276,0.7007
350,0.93430495,0.7071
0,0.6984643,0.7183
50,0.6898528,0.7005
100,0.6181541,0.7133
150,0.6641858,0.7125
200,0.8134343,0.7205
250,0.70443237,0.7157
300,0.6248555,0.7077
350,0.76049256,0.7178
0,0.50436866,0.732
50,0.69836056,0.7169
100,0.76896673,0.7218
150,0.7657263,0.7123
200,0.67496246,0.709
250,0.5966442,0.7233
300,0.7296252,0.7288
350,0.63093,0.7219
