step,training loss,testing acc
0,2.2990224,0.1022
50,2.280104,0.1023
100,2.234433,0.2283
150,2.058845,0.2675
200,1.9135009,0.293
250,2.0340853,0.316
300,1.9696392,0.3336
350,1.7531825,0.3571
0,1.6572453,0.3829
50,1.6935735,0.3881
100,1.4624462,0.4109
150,1.4783213,0.426
200,1.5598228,0.4423
250,1.50806,0.4564
300,1.6000779,0.4637
350,1.4667654,0.4697
0,1.5700724,0.4842
50,1.4507082,0.4929
100,1.3777244,0.4843
150,1.3995589,0.5053
200,1.3894275,0.5062
250,1.4539478,0.5064
300,1.4137995,0.5158
350,1.3253089,0.5203
0,1.2733868,0.5245
50,1.3853955,0.5178
100,1.2176456,0.5268
150,1.4042567,0.5355
200,1.3506457,0.533
250,1.2333933,0.5444
300,1.3871444,0.5508
350,1.2345029,0.5477
0,1.1892877,0.5597
50,1.2570183,0.559
100,1.2635908,0.5682
150,1.1665367,0.5623
200,1.3382268,0.5721
250,1.1314013,0.5766
300,1.2113767,0.5803
350,1.1812936,0.5769
0,1.1363912,0.5893
50,0.9885989,0.5958
100,0.95380914,0.6051
150,1.1290166,0.5992
200,1.0622174,0.6035
250,1.054468,0.6119
300,1.0612702,0.6139
350,1.1659762,0.6201
