step,training loss,testing acc
0,2.3029475,0.0972
50,1.9902022,0.2946
100,1.6310569,0.4089
150,1.8899629,0.4424
200,1.5692883,0.4763
250,1.4282737,0.5134
300,1.3008271,0.5301
350,1.2533847,0.5454
0,1.181341,0.5894
50,1.0323125,0.5923
100,1.3045222,0.6094
150,1.1676598,0.6059
200,1.01127,0.6227
250,1.0126278,0.6344
300,1.0436566,0.6515
350,0.8955679,0.6561
0,1.1523646,0.6543
50,1.0344797,0.6695
100,0.97988766,0.6705
150,0.9409228,0.6727
200,0.73190904,0.6667
250,0.75586045,0.6833
300,0.8271509,0.6817
350,0.96359915,0.6891
0,0.7298714,0.687
50,0.7344937,0.7089
100,0.58169854,0.705
150,0.6736304,0.7005
200,0.80922896,0.7048
250,0.76715964,0.6996
300,0.7592044,0.706
350,0.7157021,0.707
0,0.821322,0.7127
50,0.65458095,0.7137
100,0.6520089,0.6978
150,0.6683415,0.7135
200,0.60113424,0.7038
250,0.68132097,0.7141
300,0.75725013,0.7175
350,0.7870676,0.7066
0,0.66958934,0.7288
50,0.65087736,0.7272
100,0.7922515,0.7246
150,0.7675969,0.7238
200,0.7465568,0.7232
250,0.74410164,0.732
300,0.5466852,0.7342
350,0.61536574,0.7173
