step,training loss,testing acc
0,2.3052201,0.1161
50,1.9529876,0.2909
100,1.7282418,0.4138
150,1.6114471,0.4401
200,1.3893617,0.4914
250,1.1650275,0.5278
300,1.2876474,0.5543
350,1.0961,0.5739
0,1.0178171,0.5817
50,1.0319171,0.6081
100,1.1401273,0.6121
150,0.9372908,0.6238
200,0.9738634,0.6434
250,1.318933,0.6193
300,1.037588,0.6228
350,0.9182264,0.6701
0,0.8509045,0.6344
50,0.8301058,0.6712
100,0.8192059,0.6664
150,0.8704581,0.6737
200,0.9599696,0.6817
250,0.8421651,0.6823
300,1.0764803,0.6471
350,0.8356046,0.6832
0,0.5991116,0.6931
50,0.67420334,0.7007
100,0.9897892,0.7002
150,0.8065922,0.698
200,0.76877815,0.6977
250,0.6891391,0.7128
300,0.59027183,0.7122
350,0.7435375,0.7183
0,0.6103691,0.7088
50,0.60901755,0.7184
100,0.7507232,0.7084
150,0.67860717,0.7015
200,0.6439621,0.7136
250,0.7690793,0.7336
300,0.7561231,0.7264
350,0.7257047,0.7087
0,0.71554077,0.7259
50,0.5171811,0.72
100,0.6782431,0.7283
150,0.8016875,0.7216
200,0.737881,0.7265
250,0.8133684,0.7218
300,0.6529666,0.7089
350,0.70962524,0.719
