epoch,running time,testing acc
0,0.0,0.1284
1,99.5582435131073,0.9853
2,99.31013226509094,0.9883
3,98.21453833580017,0.9907
4,98.75942945480347,0.9918
5,99.34831690788269,0.9911
6,98.63474154472351,0.9923
