step,training loss,testing acc
0,2.3055992,0.0891
50,2.0701327,0.2891
100,1.6725317,0.3996
150,1.5850937,0.4665
200,1.5986651,0.4774
250,1.3112437,0.5111
300,1.2232196,0.5524
350,1.3041611,0.5512
0,1.1412405,0.5509
50,1.3263105,0.5928
100,1.0849884,0.5944
150,1.1579355,0.5865
200,0.98458636,0.6235
250,0.969062,0.6379
300,0.7735386,0.6576
350,0.84478545,0.6587
0,0.8791918,0.6591
50,0.9471457,0.6626
100,0.81086546,0.6625
150,0.821731,0.6626
200,0.8305708,0.6832
250,0.9335693,0.6715
300,0.6447299,0.6965
350,0.859308,0.6984
0,0.8533677,0.6881
50,0.77287674,0.6907
100,0.75655806,0.6828
150,0.9233861,0.6815
200,0.8794065,0.6957
250,0.8737583,0.7039
300,0.83554757,0.7038
350,0.7281987,0.71
0,0.75704235,0.709
50,0.61181295,0.7115
100,0.7652939,0.7175
150,0.696846,0.7009
200,0.5709969,0.7183
250,0.6833657,0.7165
300,0.6145744,0.7123
350,0.6512691,0.7194
0,0.47160032,0.7141
50,0.45388135,0.7158
100,0.76657385,0.7244
150,0.45726544,0.7162
200,0.6605212,0.7172
250,0.47467756,0.729
300,0.5495223,0.7195
350,0.8365114,0.726
