step,training loss,testing acc
0,2.2956011,0.1064
50,1.7623501,0.3213
100,1.6293956,0.4286
150,1.294211,0.479
200,1.437463,0.5168
250,1.2161102,0.5293
300,1.3461411,0.5737
350,1.2733973,0.5666
0,1.1386878,0.6056
50,0.835931,0.6285
100,1.1607016,0.6351
150,0.97298616,0.6568
200,0.90122885,0.6582
250,0.9107232,0.65
300,0.85571945,0.677
350,0.82714385,0.6801
0,0.86691815,0.6671
50,0.86433524,0.6758
100,0.7153519,0.6862
150,0.79067934,0.7006
200,0.6796583,0.6957
250,0.9481316,0.6962
300,0.98487836,0.6978
350,0.79352427,0.7059
0,0.9114728,0.7064
50,0.65384525,0.7202
100,0.86102414,0.7136
150,0.65056264,0.7204
200,0.84934556,0.7293
250,0.85006666,0.7099
300,0.8123189,0.7209
350,0.692062,0.7276
0,0.76131445,0.7239
50,0.6814615,0.7206
100,0.57456183,0.7372
150,0.67872876,0.72
200,0.58582264,0.7335
250,0.77864087,0.7282
300,0.5214446,0.7397
350,0.7162193,0.7382
0,0.5422873,0.7211
50,0.5860546,0.7387
100,0.5110953,0.7374
150,0.64401484,0.7344
200,0.6516095,0.7301
250,0.7035967,0.7409
300,0.5859369,0.7416
350,0.5117805,0.7416
