step,training loss,testing acc
0,2.302083,0.1082
50,2.2871027,0.159
100,2.221797,0.1711
150,2.0893302,0.254
200,2.0464048,0.2957
250,1.8952345,0.3126
300,1.853522,0.3395
350,1.7961526,0.3638
0,1.9166534,0.3841
50,1.7631642,0.403
100,1.5463717,0.4215
150,1.510606,0.4289
200,1.5352424,0.4389
250,1.4817163,0.436
300,1.5068804,0.4682
350,1.5079197,0.4697
0,1.439758,0.4596
50,1.4929127,0.4749
100,1.6459881,0.4927
150,1.4015902,0.4831
200,1.46728,0.501
250,1.363019,0.5019
300,1.4060354,0.5044
350,1.338757,0.515
0,1.2402341,0.526
50,1.3302175,0.5208
100,1.2353328,0.527
150,1.4317105,0.5292
200,1.2244637,0.5407
250,1.2540439,0.5504
300,1.173708,0.556
350,1.3811997,0.5534
0,1.3776718,0.561
50,1.2998449,0.564
100,1.2953342,0.5698
150,1.1240118,0.5797
200,1.1377699,0.5746
250,1.2387403,0.5842
300,1.1124741,0.585
350,1.0741595,0.5839
0,1.0861627,0.5915
50,1.1991478,0.6001
100,1.2293503,0.5956
150,1.1258434,0.6094
200,1.3632725,0.6076
250,1.1564611,0.6079
300,1.0604804,0.5989
350,1.0170231,0.6225
