step,training loss,testing acc
0,2.319038,0.1067
50,0.26291358,0.9428
100,0.21091373,0.9676
150,0.058616024,0.975
200,0.13308261,0.9797
250,0.05523235,0.98
300,0.060100816,0.9784
350,0.048484538,0.9811
400,0.054148074,0.9844
450,0.0444075,0.9839
0,0.08759111,0.9847
50,0.022447113,0.9853
100,0.03332653,0.9865
150,0.09396702,0.9858
200,0.0344432,0.9872
250,0.016144268,0.9886
300,0.052443054,0.988
350,0.032820337,0.9885
400,0.015779927,0.9893
450,0.031220775,0.9883
0,0.074284814,0.9907
50,0.04104292,0.9902
100,0.039919104,0.9899
150,0.016522061,0.9894
200,0.04532182,0.9901
250,0.056327995,0.9905
300,0.02809035,0.9879
350,0.03875799,0.9889
400,0.008512508,0.9913
450,0.018320385,0.9903
0,0.008158032,0.9911
50,0.015409347,0.9906
100,0.04380579,0.9904
150,0.01131466,0.9888
200,0.010715723,0.9913
250,0.018801287,0.9905
300,0.017675042,0.9893
350,0.013283659,0.9913
400,0.027791243,0.9896
450,0.019812323,0.9892
0,0.0013775304,0.991
50,0.02145674,0.9902
100,0.01999924,0.9919
150,0.05675228,0.9918
200,0.025145758,0.9906
250,0.002647929,0.9906
300,0.026262783,0.9923
350,0.050114594,0.9915
400,0.067659944,0.9912
450,0.011170879,0.9915
0,0.0063528307,0.9894
50,0.030639362,0.9915
100,0.007783171,0.9916
150,0.063524984,0.9901
200,0.024526373,0.9917
250,0.0006209165,0.9917
300,0.008447148,0.9921
350,0.0018946603,0.9916
400,0.002877172,0.9915
450,0.02035299,0.9922
