epoch,running time,testing acc
0,0.0,0.1276
1,166.4062340259552,0.6075
2,169.17372965812683,0.6878
3,168.24621295928955,0.7012
4,169.53242468833923,0.7234
5,159.40776467323303,0.7384
6,157.41686153411865,0.7309
