step,training loss,testing acc
0,2.3037097,0.1039
50,1.9547038,0.3213
100,1.5727024,0.4338
150,1.5045,0.4778
200,1.513915,0.4998
250,1.4435047,0.543
300,1.2785617,0.5705
350,1.1883581,0.5978
0,1.2008013,0.5463
50,1.071871,0.6249
100,0.9685853,0.6326
150,1.15822,0.6428
200,0.9580032,0.6391
250,0.96552163,0.6603
300,0.99353564,0.6623
350,1.1375166,0.6632
0,0.8090627,0.6791
50,0.7381628,0.6864
100,1.046371,0.677
150,0.6870426,0.673
200,0.9741613,0.6945
250,0.8185464,0.6978
300,0.9324192,0.6932
350,0.7933139,0.7038
0,0.7261162,0.7094
50,0.7246005,0.7113
100,0.6523709,0.7044
150,0.7822595,0.7079
200,0.64351225,0.7123
250,0.6988269,0.7291
300,0.86683667,0.7136
350,0.8928185,0.7253
0,0.57453156,0.7233
50,0.66248155,0.7301
100,0.64246875,0.728
150,0.79521215,0.7205
200,0.48446432,0.7286
250,0.64946264,0.7306
300,0.7846178,0.7329
350,0.82076347,0.7356
0,0.49977586,0.7209
50,0.6777547,0.7278
100,0.64581394,0.7286
150,0.70021385,0.726
200,0.6461383,0.7354
250,0.626073,0.7355
300,0.58954,0.7355
350,0.6759671,0.7315
